hostname,temp,filesize_mb,date,part_count
RFLX-013,H,647.9,4/22/2024,44464
5400-037,A,31.25,4/22/2024,2546
UFLX-060,A,461.98,4/22/2024,5040
STS-181,C,1424.21,4/22/2024,13521
MFLX-175,A,388.19,4/22/2024,31533
5400-025,A,174.59,4/22/2024,2809
MFLX-214,A,271.51,4/22/2024,51115
MFLX-219,A,428.32,4/22/2024,1820
UFLX-049,A,355.61,4/22/2024,4180
ctsq35,NA,39.08,4/22/2024,38085
STS-345,H,1250.59,4/22/2024,22196
MFLX-121,NA,181.25,4/22/2024,24337
MFLX-171,H,118.51,4/22/2024,4088
pilct01,NA,0.82,4/22/2024,2100
UFLX-062,A,122.81,4/22/2024,3634
STS-013,H,1742.35,4/22/2024,23190
5400-024,NA,7.68,4/22/2024,2231
ctsq84,NA,31.5,4/22/2024,38255
cts12,NA,13.06,4/22/2024,23122
cts56,NA,5.7,4/22/2024,12352
MFLX-011,A,292.22,4/22/2024,44421
MFLX-187,A,177.27,4/22/2024,31559
5400-044,A,19.17,4/22/2024,3758
STS-309,H,1188.07,4/22/2024,21019
lct50,NA,37.91,4/22/2024,36744
MFLX-160,A,255.16,4/22/2024,20906
MFLX-049,A,1495.5,4/22/2024,10747
5400-039,A,15.53,4/22/2024,1292
UFLX-054,A,129.62,4/22/2024,3700
ctsq47,NA,9,4/22/2024,8633
FLEX-014,A,95.94,4/22/2024,16724
MFLX-006,A,110.41,4/22/2024,15770
STS-246,A,237.14,4/22/2024,1492
STS-355,H,930.21,4/22/2024,16381
STS-346,NA,113.37,4/22/2024,6893
MFLX-037,A,106.02,4/22/2024,5200
lct25,NA,15.54,4/22/2024,60254
UFLX-006,A,549.99,4/22/2024,3782
MFLX-156,A,553.34,4/22/2024,12600
ate06,NA,45.06,4/22/2024,1596
ctsq69,NA,1.81,4/22/2024,1132
cts17,NA,5.48,4/22/2024,4277
hscq48,NA,7.33,4/22/2024,15409
ctsq68,NA,32.69,4/22/2024,18994
lct65,A,2.38,4/22/2024,11015
UFLX-064,NA,183.95,4/22/2024,3882
5400-017,A,13.03,4/22/2024,1404
STS-008,H,583.91,4/22/2024,16947
MFLX-120,H,48.75,4/22/2024,9589
RFLX-004,A,218.2,4/22/2024,14687
ctsq90,NA,0.28,4/22/2024,873
STS-338,A,1440.68,4/22/2024,869
lct16,NA,21.48,4/22/2024,19111
UFLX-017,C,538.23,4/22/2024,6740
lct63,NA,8.94,4/22/2024,23650
MFLX-180,A,106.03,4/22/2024,5200
STS-365,A,1627.51,4/22/2024,1092
MFLX-212,A,37.64,4/22/2024,3686
MFLX-009,NA,373.95,4/22/2024,29886
UFLX-078,C,520.81,4/22/2024,6592
MFLX-092,A,60.91,4/22/2024,6097
MFLX-144,A,63.59,4/22/2024,3120
